SKU,productType,productName,status,productSection,productOrder,pageTemplate,pageTitle,pageResources,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageCopys,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSubtitle,pageSeoTitle,pageSeoDescription
87181,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL HIMALAYA,CONT,Página 4 / Cobertores Invernales,15,CobertorInvernal,Himalaya,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88061,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL FUN,CONT,Página 4 / Cobertores Invernales,16,CobertorInvernal,Fun,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88063,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL LILA,CONT,Página 4 / Cobertores Invernales,17,CobertorInvernal,Lila,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88066,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL TINTO,CONT,Página 4 / Cobertores Invernales,18,CobertorInvernal,Tinto,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88069,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL TURQUESA,CONT,Página 4 / Cobertores Invernales,19,CobertorInvernal,Turquesa,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88070,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL TURQUESA,CONT,Página 4 / Cobertores Invernales,20,CobertorInvernal,Turquesa,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88072,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL MINTO,CONT,Página 4 / Cobertores Invernales,21,CobertorInvernal,Minto,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88077,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL BULLER,CONT,Página 4 / Cobertores Invernales,22,CobertorInvernal,Buller,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88083,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL QUEBEC,CONT,Página 4 / Cobertores Invernales,23,CobertorInvernal,Quebec,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88258,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HARRY POTTER,CONT,Página 4 / Cobertores Invernales,24,CobertorInvernal,Harry Potter,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Invernal,,
88998,COBERTOR NÓRDICO,COBERTOR NÓRDICO MAT/IND XL VOSTOK,NVO,Página 5 / Cobertores Nórdicos,1,CobertorNordico,Vostok,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Nórdico,,
89002,COBERTOR NÓRDICO,COBERTOR NÓRDICO MAT/IND XL LOKET,NVO,Página 5 / Cobertores Nórdicos,2,CobertorNordico,Loket,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Nórdico,,
88103,COBERTOR NÓRDICO,COBERTOR NÓRDICO MAT/IND XL PRESTON,CONT,Página 5 / Cobertores Nórdicos,3,CobertorNordico,Preston,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Nórdico,,
88157,COBERTOR NÓRDICO,COBERTOR NÓRDICO MAT/IND XL BARILOCHE,CONT,Página 5 / Cobertores Nórdicos,4,CobertorNordico,Bariloche,[],[],[],[],[],[],[],[],[],Activa,,[],Cobertor Nórdico,,
