productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageProducts,pageIcons,pageSeoTitle,pageSeoDescription
Cobertor Ligero Mat/Ind Estonia,52396,Cobertor Ligero,Página 5 / Cobertores,10,[],[],[],[],[],Cobertor,Estonia,Cobertor Ligero,[],[],[],[],Activa,['52396'],[],,
Cobertor Ligero Mat/Ind Negro,52588,Cobertor Ligero,Página 5 / Cobertores,11,[],[],[],[],[],Cobertor,Negro,Cobertor Ligero,[],[],[],[],Activa,['52588'],[],,
Cobertor Ligero Ks/Qs Celeste,88442,Cobertor Ligero,Página 5 / Cobertores,12,[],[],[],[],[],Cobertor,Celeste,Cobertor Ligero,[],[],[],[],Activa,['88442'],[],,
Bolsa De Regalo Vianney 24-25,88757,Bolsa De Regalo,Página 5 / Cobertores,13,[],[],[],[],[],Sublinea,Bolsa De Regalo Vianney 24-25,,[],[],[],[],Activa,['88757'],[],,
Almohada Std Vialifresh,35161,Almohadas,Página 6 / Básicos,1,[],[],[],[],[],Almohadas,Vialifresh,,[],[],['vialifresh'],[],Activa,['35161'],[],,
Almohada Std Vialifresh Super Confort,35209,Almohadas,Página 6 / Básicos,2,[],[],[],[],[],Almohadas,Vialifresh Super Confort,,[],[],['vialifresh'],[],Activa,['35209'],[],,
Almohada Pocket,35646,Almohadas,Página 6 / Básicos,3,[],[],[],[],[],Almohadas,Pocket,,[],[],[],[],Activa,['35646'],[],,
Almohada Ks Balance,35215 35214,Almohadas,Página 6 / Básicos,4,[],[],[],[],[],Almohadas,Balance,,[],[],[],[],Activa,['35215 35214'],[],,
Almohada Ks Básica Plus,88692,Almohadas,Página 6 / Básicos,5,[],[],[],[],[],Almohadas,Básica Plus,,[],[],[],[],Activa,['88692'],[],,
Almohada Ks Cooling,36260,Almohadas,Página 6 / Básicos,6,[],[],[],[],[],Almohadas,Cooling,,[],[],[],[],Activa,['36260'],[],,
Almohada Ks Antiviral Impermeable,35219 35217,Almohadas,Página 6 / Básicos,7,[],[],[],[],[],Almohadas,Antiviral Impermeable,,[],[],[],[],Activa,['35219 35217'],[],,
Cojín Modular Std,87647,Almohadas,Página 6 / Básicos,8,[],[],[],[],[],Almohadas,Modular,,[],[],[],[],Activa,['87647'],[],,
Almohada Std Super Confort,35205,Almohadas,Página 6 / Básicos,9,[],[],[],[],[],Almohadas,Super Confort,,[],[],[],[],Activa,['35205'],[],,
Protector De Almohada Cooling Std,87554,Almohadas,Página 6 / Básicos,10,[],[],[],[],[],Almohadas, Cooling,,[],[],[],[],Activa,['87554'],[],,
Almohada Std Sognare Firme,35239,Almohadas,Página 6 / Básicos,11,[],[],[],[],[],Almohadas,Sognare Firme,,[],[],[],[],Activa,['35239'],[],,
Almohada Std Sognare Nuo,87644,Almohadas,Página 6 / Básicos,12,[],[],[],[],[],Almohadas,Sognare Nuo,,[],[],[],[],Activa,['87644'],[],,
Almohada Body Comfort Washed Gris,88845,Almohadas,Página 6 / Básicos,13,[],[],[],[],[],Almohadas,Body Comfort Washed Gris,,[],[],[],[],Activa,['88845'],[],,
Relleno Almohada Std Balance,35838,Almohadas,Página 6 / Básicos,14,[],[],[],[],[],Almohadas,Relleno Balance,,[],[],[],[],Activa,['35838'],[],,
Almohada Viafoam Std Gel Confort,87627,Almohadas,Página 6 / Básicos,15,[],[],[],[],[],Almohadas,Viafoam Gel Confort,,[],[],['viafoam'],[],Activa,['87627'],[],,
Almohada Viafoam Std Duo Soft,87854,Almohadas,Página 6 / Básicos,16,[],[],[],[],[],Almohadas,Viafoam Duo,,[],[],['viafoam'],[],Activa,['87854'],[],,
Cojín Viafoam Ortoconfort Std,36295,Almohadas,Página 6 / Básicos,17,[],[],[],[],[],Almohadas,Ortoconfort,,[],[],['viafoam'],[],Activa,['36295'],[],,
Cojín Viafoam Multiseat Std,86681,Almohadas,Página 6 / Básicos,18,[],[],[],[],[],Almohadas,Multiseat,,[],[],['viafoam'],[],Activa,['86681'],[],,
Cojín Viafoam Std Ortomedic,36297,Almohadas,Página 6 / Básicos,19,[],[],[],[],[],Almohadas,Ortomedic,,[],[],['viafoam'],[],Activa,['36297'],[],,
Almohada Viafoam Std Cool,88619,Almohadas,Página 6 / Básicos,20,[],[],[],[],[],Almohadas,Viafoam Cool,,[],[],['viafoam'],[],Activa,['88619'],[],,
Almohada Lactancia Washed Gris,88741,Almohadas,Página 6 / Básicos,21,[],[],[],[],[],Almohadas,Lactancia Washed Gris,,[],[],[],[],Activa,['88741'],[],,
