productName,SKU,productType,productSection,pageTemplate,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Voga Qs/Mat Xl Esmeralda,86256,Edredón Voga,Página 3 / Edredones Voga,EdredonVoga,5,['24908'],['63932'],['88572' '88618'],['86786' '36629' '88762'],['42624' '77556'],Esmeralda,Edredón,[],['#e6e4e2' '#0b362a'],[],[],Activa,[],,
Edredón Novo Mat Comitán,88686,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,1,['88559'],['63961'],['88753' '88485' '88541'],['88586' '88574'],['87823'],Comitán,Edredón Novo,[],['#dee1e0'],[],[],Activa,[],,
Edredón Novo Mat Arena,88677,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,2,['87493'],['63932' '87865'],['88503' '88477'],['88802' '88588' '88794' '88755'],[],Arena,Edredón Novo,[],['#f1f1f1'],[],[],Activa,[],,
Edredón Novo Mat Terracota,88680,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,3,['87493'],['88649'],['88572' '86618'],['88784' '88802'],['87823'],Terracota,Edredón Novo,[],['#ead4cb'],[],[],Activa,[],,
Edredón Novo Mat Lisboa,88689,Edredón Novo,Página 4 / Edredones Novo,JuegoDeEdredon,4,['23649' '87493'],['63987'],['87483' '88481'],['87710' '88586'],[],Lisboa,Edredón Novo,[],['#e3e2e4'],[],[],Activa,[],,
Edredón Novo Mat Mint,88683,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,5,['88551'],['64001'],['88485' '88541'],['87710' '87800' '88586'],['88585'],Mint,Edredón Novo,[],['#f0eff0'],[],[],Activa,[],,
Edredón Novo Mat Atlántico,88661,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,6,['88551'],['88627'],['88571' '86618'],['87710' '36629' '88573' '87800'],[],Atlántico,Edredón Novo,[],['#d3cfc9'],[],[],Activa,[],,
Edredón Novo Mat Olivo,43862,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,7,['87497'],['87546'],['86622'],['88501'],['87235'],Olivo,Edredón Novo,[],['#d1d2cf'],[],[],Activa,[],,
Edredón Novo Mat Malva,86547,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,8,['88494'],['88486'],['86622'],['87514'],['51213'],Malva,Edredón Novo,[],['#d6d2cf'],[],[],Activa,[],,
Edredón Novo Mat Estaño,88432,Edredón Novo,Página 4 / Edredones Novo,EdredonNovo,9,['24146'],['87438'],['88477'],['88516'],[],Estaño,Edredón Novo,[],['#bebcba'],[],[],Activa,[],,
