productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoDescription,pageSeoTitle
Cobertor Baby Siberia Cuna Stars,54852,Cobertor Baby Siberia,Página 2 / Cobertores,27,['88623'],['88756'],[],[],[],Cobertor,stars,cobertor baby siberia,[],['#f0edea' '#e7e1dd'],[],[],Activa,[],[],,
Cobertor Baby Siberia Cuna Cozy,87873,Cobertor Baby Siberia,Página 2 / Cobertores,28,['88219'],['88756'],[],[],[],Cobertor,cozy,cobertor baby siberia,[],['#cfcfd1' '#b0b0b2'],[],[],Activa,[],[],,
Bolsa De Regalo Bebé 24-25,88756,Bolsa De Regalo,Página 2 / Cobertores,29,[],[],[],[],[],Sublinea,bolsa de regalo bebé 24-25,,[],['#f2f2f2'],[],[],Activa,[],[],,
Sleep Bag 2-4 Años Azul,86941,Sleep Bags,Página 3 / Accesorios,1,[],[],[],[],[],Sublinea,azul,,[],['#dae5ea'],[],[],Activa,[],[],,
Sleep Bag 2-4 Años Lila,88819,Sleep Bags,Página 3 / Accesorios,2,[],[],[],[],[],Sublinea,lila,,[],['#ebe3e5'],[],[],Activa,[],[],,
Sleep Bag 2-4 Años Ballenita,88820,Sleep Bags,Página 3 / Accesorios,3,[],[],[],[],[],Sublinea,ballenita,,[],['#dbe1df'],[],[],Activa,[],[],,
Sleep Bag 2-4 Años Jirafita,88880,Sleep Bags,Página 3 / Accesorios,4,[],[],[],[],[],Sublinea,jirafita,,[],['#f1ebef'],[],[],Activa,[],[],,
Toalla Baby Unicornio,88520,Toallas Baby,Página 3 / Accesorios,5,[],[],[],[],[],Sublinea,unicornio,,[],['#f6ece8'],[],[],Activa,[],[],,
Toalla Baby Dino,88519,Toallas Baby,Página 3 / Accesorios,6,[],[],[],[],[],Sublinea,dino,,[],['#f5e9e2'],[],[],Activa,[],[],,
Toallitas Faciales Rex,87737,Toallitas Faciales,Página 3 / Accesorios,7,[],[],[],[],[],Sublinea,rex,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Toallitas Faciales Conejita,88712,Toallitas Faciales,Página 3 / Accesorios,8,[],[],[],[],[],Sublinea,conejita,,[],['#f1ebe7'],[],[],Activa,[],[],,
Kit De Regalo Muselina Conejitas,88846,Kits De Regalo,Página 3 / Accesorios,9,[],[],[],[],[],Sublinea,muselina conejitas,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Kit De Regalo Muselina Dino,88847,Kits De Regalo,Página 3 / Accesorios,10,[],[],[],[],[],Sublinea,muselina dino,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Kit De Regalo Blue,88848,Kits De Regalo,Página 3 / Accesorios,11,[],[],[],[],[],Sublinea,blue,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Kit De Regalo Lila,88849,Kits De Regalo,Página 3 / Accesorios,12,[],[],[],[],[],Sublinea,lila,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Lima De Uñas Baby,88706,Lima De Uñas,Página 3 / Accesorios,13,[],['88706-2'],[],[],['88706-3'],AmbienteConMiniambiente,lima de uñas baby,,[],['#' 'DOBLE' 'NADA'],[],[],Activa,[],[],,
Tapete De Juego Moon,88606,Tapete De Juego,Página 3 / Accesorios,14,[],[],[],[],[],Sublinea,juego moon,,[],['#f8f7f8'],[],[],Activa,[],[],,
Almohada Lactancia Washed Gris,88741,Almohadas,Página 4 / Básicos,1,[],[],[],[],[],Almohadas,lactancia washed gris,,[],[''],[],[],Activa,[],[],,
Funda De Almohada Lactancia Alpes Gris,24924,Almohadas,Página 4 / Básicos,2,[],[],[],[],[],Almohadas,lactancia alpes gris,,[],[''],[],[],Activa,[],[],,
Almohada Body Comfort Washed Gris,88845,Almohadas,Página 4 / Básicos,3,[],[],[],[],[],Almohadas,body comfort washed gris,,[],['#ebeae9'],[],[],Activa,[],[],,
Almohada Viafoam Antireflujo Baby,86860,Almohadas,Página 4 / Básicos,4,[],[],[],[],[],Almohadas,viafoam antireflujo baby,,[],['#f3f2f2'],['viafoam'],[],Activa,[],[],,
Almohada Pocket,35646,Almohadas,Página 4 / Básicos,5,[],[],[],[],[],Almohadas,pocket,,[],['#f0f0f0'],[],[],Activa,[],[],,
Protector De Colchón Cuna Impermeable Baby,36111,Almohadas,Página 4 / Básicos,6,[],[],[],[],[],Almohadas,impermeable baby,,[],['#f8f9fa'],[],[],Activa,[],[],,
Sabanitas Franela Happy,88818,Par de Sabanitas Franela,Página 4 / Básicos,7,[],[],[],[],[],Sublinea,happy,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Sabanitas Franela Dinosaurios,87916,Par de Sabanitas Franela,Página 4 / Básicos,8,[],[],[],[],[],Sublinea,dinosaurios,,[],['INDIVIDUAL'],[],[],Activa,[],[],,
Sabanitas Pol Rex,88791,Par de Sabanitas Pol,Página 4 / Básicos,9,[],[],[],[],[],Sublinea,rex,,[],['#f4f5f7'],[],[],Activa,[],[],,
Sabanitas Pol Conejita,88792,Par de Sabanitas Pol,Página 4 / Básicos,10,[],[],[],[],[],Sublinea,conejita,,[],['#edeeef'],[],[],Activa,[],[],,
Sabanita Pol Elephant,21709,Sabanitas Pol,Página 4 / Básicos,11,[],[],[],[],[],Sublinea,elephant,,[],['#dfd2cd'],[],[],Activa,[],[],,
Sabanita Pol Sweet Dino,87646,Sabanitas Pol,Página 4 / Básicos,12,[],[],[],[],[],Sublinea,sweet dino,,[],['#efedef'],[],[],Activa,[],[],,
Sábana Camiseta Cuna Lila,88787,Sábanas Camiseta,Página 4 / Básicos,13,[],[],[],[],[],VariantesDeColor,lila,,[],['#e6dcdc' '#ae8c8b'],[],[],Activa,[],[],,
Sábana Camiseta Cuna Celeste,88785,Sábanas Camiseta,Página 4 / Básicos,14,[],[],[],[],[],VariantesDeColor,celeste,,[],['#dde5e6' '#8ea9ae'],[],[],Activa,[],[],,
Sábana Camiseta Cuna Gris,23033,Sábanas Camiseta,Página 4 / Básicos,15,[],[],[],[],[],VariantesDeColor,gris,,[],['#f1eeec' '#d1c7c1'],[],[],Activa,[],[],,
Sábana Viasoft Washed Cuna Mint,88625,Sábanas Viasoft Washed,Página 4 / Básicos,16,[],[],[],[],[],VariantesDeColor, mint,,[],['#e4eaea' '#a6bcba'],['viasoft'],[],Activa,[],[],,
Sábana Viasoft Washed Cuna Rose,88621,Sábanas Viasoft Washed,Página 4 / Básicos,17,[],[],[],[],[],VariantesDeColor, rose,,[],['#f1e6e2' '#d2aca1'],['viasoft'],[],Activa,[],[],,
Sábana Viasoft Washed Cuna Greige,88623,Sábanas Viasoft Washed,Página 4 / Básicos,18,[],[],[],[],[],VariantesDeColor, greige,,[],['#eceae7' '#c2baaf'],['viasoft'],[],Activa,[],[],,
Protector De Barandal Ccc Glaciar,87977,Protectores De Barandal,Página 4 / Básicos,19,[],[],[],[],[],Sublinea, glaciar,,[],['#e5e4e4'],[],[],Activa,[],[],,
Protector De Barandal Ccc Lila,88742,Protectores De Barandal,Página 4 / Básicos,20,[],[],[],[],[],Sublinea, lila,,[],['#e7e0df'],[],[],Activa,[],[],,
Mosquitero Plegable Baby Gris,87282,Mosquitero Plegable,Página 4 / Básicos,21,[],['87282-2'],[],[],['87282-3'],AmbienteConMiniambiente,mosquitero plegable baby gris,,[],['#' 'DOBLE' 'NADA'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Celeste,88414,Cortinas Blackout,Página 4 / Básicos,22,[],[],[],[],[],VariantesDeColor,catania celeste,,[],['#e0e6e8' '#98aeb5'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Beige,63930,Cortinas Blackout,Página 4 / Básicos,23,[],[],[],[],[],VariantesDeColor,catania beige,,[],['#fbf7e5' '#f4e6ab'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Gris,63961,Cortinas Blackout,Página 4 / Básicos,24,[],[],[],[],[],VariantesDeColor,catania gris,,[],['#d3d1d2' '#6d6869'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Marino,63946,Cortinas Blackout,Página 4 / Básicos,25,[],[],[],[],[],VariantesDeColor,catania marino,,[],['#b5b3c6' '#0b0441'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Deep Rose,87546,Cortinas Blackout,Página 4 / Básicos,26,[],[],[],[],[],VariantesDeColor,catania deep rose,,[],['#efdcdb' '#cc8c88'],[],[],Activa,[],[],,
Cortinas Blackout Larga Catania Lila,87548,Cortinas Blackout,Página 4 / Básicos,27,[],[],[],[],[],VariantesDeColor,catania lila,,[],['#e6dcdc' '#ae8c8b'],[],[],Activa,[],[],,
Cortinas Translúcidas Larga Florencia,87448,Cortinas Translúcidas,Página 4 / Básicos,28,[],[],[],[],[],Sublinea,florencia,,[],['#f3f3f5'],[],[],Activa,[],[],,
Cortinas Translúcidas Larga Tergal Beige,87863,Cortinas Translúcidas,Página 4 / Básicos,29,[],[],[],[],[],Sublinea,tergal beige,,[],['#f5f5f3'],[],[],Activa,[],[],,
Cortinas Translúcidas Larga Tergal Blanco,87865,Cortinas Translúcidas,Página 4 / Básicos,30,[],[],[],[],[],Sublinea,tergal blanco,,[],['#f5f5f7'],[],[],Activa,[],[],,
Cortinas Translúcidas Larga Tarento,88530,Cortinas Translúcidas,Página 4 / Básicos,31,[],[],[],[],[],Sublinea,tarento,,[],['#ecebeb'],[],[],Activa,[],[],,
