productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Novo Mat Lisboa,88689,Edredón Novo,Página 4 / Edredones Novo,4,['23649' '87493'],['63987'],['87483' '88481'],['87710' '88586'],[],EdredonNovo,Lisboa,Edredón Novo,[],['#e3e2e4'],[],[],Activa,[],,
Edredón Novo Mat Mint,88683,Edredón Novo,Página 4 / Edredones Novo,5,['88551'],[],['88485' '88541'],['87710' '87800' '88586'],['88585'],EdredonNovo,Mint,Edredón Novo,[],['#f0eff0'],[],[],Activa,[],,
Edredón Novo Mat Atlántico,88661,Edredón Novo,Página 4 / Edredones Novo,6,['88551'],[],['88571' '86618'],['87710' '36629' '88573' '87800'],[],EdredonNovo,Atlántico,Edredón Novo,[],['#d3cfc9'],[],[],Activa,[],,
Edredón Novo Mat Olivo,43862,Edredón Novo,Página 4 / Edredones Novo,7,['87497'],['87546'],['86622'],['88501'],['87235'],EdredonNovo,Olivo,Edredón Novo,[],[],[],[],Activa,[],,
Edredón Novo Mat Malva,86548,Edredón Novo,Página 4 / Edredones Novo,8,['88494'],['88487'],['86622'],['87514'],['51213'],EdredonNovo,Malva,Edredón Novo,[],['#d6d2cf'],[],[],Activa,[],,
Edredón Novo Mat Estaño,88432,Edredón Novo,Página 4 / Edredones Novo,9,['24146'],['87438'],['88477'],['88516'],[],EdredonNovo,Estaño,Edredón Novo,[],['#bebcba'],[],[],Activa,[],,
Edredón Novo Mat Blush,87726,Edredón Novo,Página 4 / Edredones Novo,10,['87493'],['88457'],['87741'],['88242'],['88236'],EdredonNovo,Blush,Edredón Novo,[],['#efeae8'],[],[],Activa,[],,
Edredón Novo Mat Creta,86705,Edredón Novo,Página 4 / Edredones Novo,11,['88563'],['64045'],['87481'],['88501'],['51213'],EdredonNovo,Creta,Edredón Novo,[],['#ccd4d5'],[],[],Activa,[],,
Edredón Novo Mat Boston,86406,Edredón Novo,Página 4 / Edredones Novo,12,['24317'],['63987'],['87483'],['88243'],['55176'],EdredonNovo,Boston,Edredón Novo,[],['#c9d6e0'],[],[],Activa,[],,
Edredón Novo Mat Cobalto,86713,Edredón Novo,Página 4 / Edredones Novo,13,['88498'],['63988'],['88477'],['88452'],['87695'],EdredonNovo,Cobalto,Edredón Novo,[],['#cacdd0'],[],[],Activa,[],,
Edredón Novo Mat Veneto,87714,Edredón Novo,Página 4 / Edredones Novo,14,['88494'],['88488'],['88572'],['87497'],['42624'],EdredonNovo,Veneto,Edredón Novo,[],['#e3dbda'],[],[],Activa,[],,
