SKU,productType,productName,status,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoTitle,pageSeoDescription
24789,SÁBANAS SIBERIA,SÁBANAS SIBERIA IND ALPES ROSA MATURA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Rosa Matura,,[],[],[],[],Activa,,[],,
24790,SÁBANAS SIBERIA,SÁBANAS SIBERIA MAT ALPES ROSA MATURA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Rosa Matura,,[],[],[],[],Activa,,[],,
24791,SÁBANAS SIBERIA,SÁBANAS SIBERIA KS ALPES ROSA MATURA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Rosa Matura,,[],[],[],[],Activa,,[],,
86959,SÁBANAS SIBERIA,SÁBANAS SIBERIA IND ALPES NEGRO,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Negro,,[],[],[],[],Activa,,[],,
86960,SÁBANAS SIBERIA,SÁBANAS SIBERIA MAT ALPES NEGRO,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Negro,,[],[],[],[],Activa,,[],,
86961,SÁBANAS SIBERIA,SÁBANAS SIBERIA KS ALPES NEGRO,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Alpes Negro,,[],[],[],[],Activa,,[],,
88123,SÁBANAS SIBERIA,SÁBANAS SIBERIA IND LIVE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Live,,[],[],[],[],Activa,,[],,
88124,SÁBANAS SIBERIA,SÁBANAS SIBERIA MAT LIVE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Live,,[],[],[],[],Activa,,[],,
88125,SÁBANAS SIBERIA,SÁBANAS SIBERIA KS LIVE,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Live,,[],[],[],[],Activa,,[],,
87153,SÁBANAS SIBERIA,SÁBANAS SIBERIA IND POLONIA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Polonia,,[],[],[],[],Activa,,[],,
87154,SÁBANAS SIBERIA,SÁBANAS SIBERIA MAT POLONIA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Polonia,,[],[],[],[],Activa,,[],,
87155,SÁBANAS SIBERIA,SÁBANAS SIBERIA KS POLONIA,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Polonia,,[],[],[],[],Activa,,[],,
86880,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR IND AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
86881,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR MAT AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
86882,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR QS AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
86883,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR KS AZUL,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Azul,,[],[],[],[],Activa,,[],,
24722,SÁBANAS ANDES-POLAR,SÁBANAS ANDES-POLAR IND GRIS,CONT,Página 8 / Básicos,-1,[],[],[],[],[],,Gris,,[],[],[],[],Activa,,[],,
